paper_id,bibkey,coder_id,coding_date,axis_1a_primary,axis_1a_secondary,axis_1b_primary,axis_1b_secondary,axis_1c_modality_set,axis_2_primary,axis_2_secondary,axis_3a_primary,axis_3a_secondary,axis_3b_memory_techniques,axis_4a_primary,axis_4a_secondary,axis_4b_primary,axis_4b_secondary,axis_5_primary,axis_5_secondary,hardware_reported,hardware_tier,compute_value,compute_reported,trainable_params_count,trainable_params_percent,datasets,task,efficiency_engagement,domain_relevance,simulation_methodology,variants_explored,coder_notes,uncertainty_flags
feng2023fedmultimodal,feng2023fedmultimodal,coder_A,2026-05-23,unimodal-pretrained-frozen,,late-fusion,other-specify,audio|vision-image|vision-video|text|physiological|motion,frozen-backbone-linear,,federated-optimizer,,none-reported,NR,,none,,federated,,NR,NR,,False,NR,NR,UCF101|CrisisMMD|KU-HAR|MELD|CMU-MOSEI|UR-Funny|MIT-States|ImageNet-OOD|FLICKR|Hateful-Memes,multimodal-activity-recognition,secondary,adjacent-interaction,,,"Federated optimizers coded as other-specify v1.1 correction: removed invalid 'attention-based' secondary; FedMultimodal's late-fusion is the only confirmed fusion mechanism. Attention references in the paper appear to refer to federated server-side aggregation, not cross-modal fusion. v1.1 correction: axis_3a recoded from other-specify to federated-optimizer; uncertainty_flag cleared. Post-pilot re-reading update: closer review of the FedMultimodal paper confirms an additive/hierarchical attention mechanism applied over concatenated temporal embeddings within multimodal sequences (distinct from server-side federated aggregation). axis_1b_secondary recoded from NA to other-specify; this mechanism does not match dense-cross-attention (pairwise token attention) or late-fusion (logit-level combination).",
nagrani2021attention,nagrani2021attention,coder_A,2026-05-23,unimodal-pretrained-tuned,,bottleneck-attention,,vision-video|audio,full-FT,,SGD-momentum,,none-reported,NR,,none,,single-node-multi-GPU-DDP,,TPU accelerators,enterprise,,False,NR,NR,AudioSet|Epic-Kitchens|VGGSound,audio-visual-event-localization,secondary,adjacent-interaction,,,"Trained on TPU pods via Scenic v1.1 correction: reclassified axis_5 from other-specify. TPU hardware does not determine topology; Scenic/JAX uses data parallelism (pmap) functionally equivalent to DDP. Coded as single-node-multi-GPU-DDP despite the multi-host nature of TPU pods, as this is the rubric's nearest semantic match for data-parallel training across accelerator cores. Hardware specifics preserved in hardware_reported.",axis_5_primary
cai2024lora,cai2024lora,coder_A,2026-05-23,mixed,,late-fusion,,audio|text,hybrid,LoRA-family,Adam-no-WD,,none-reported,NR,,none,,single-GPU,,GeForce RTX 4090,consumer,,False,NR,NR,IEMOCAP,categorical-emotion-recognition,primary,core-affective,,,Adam optimizer without W coded as other-specify; Hybrid adaptation due to frozen text and LoRA audio v1.1 correction: axis_3a recoded from other-specify to Adam-no-WD.,axis_2_primary
liu2018lmf,liu2018lmf,coder_A,2026-05-23,from-scratch,,tensor-fusion,,audio|vision-video|text,full-FT,,NR,,none-reported,NR,,none,,single-GPU,,NR,NR,,False,NR,NR,CMU-MOSI|POM|IEMOCAP,multimodal-sentiment-analysis,primary,core-affective,,,LMF tensor decomposition,
gao2023llamaadapterv2,gao2023llamaadapterv2,coder_A,2026-05-23,unimodal-pretrained-frozen,,linear-mlp-projection,,vision-image|text,zero-init-attention,hybrid,AdamW-standard,,none-reported,FP16-mixed,,none,,single-node-multi-GPU-DDP,,8x A100,enterprise,,False,14M,NR,COCO|ScienceQA,multimodal-instruction-following,primary,method-source,,early fusion ablations,Unlocked norm/bias in addition to zero-init,axis_1b_primary
chen2025grpo,chen2025grpo,coder_A,2026-05-24,unimodal-pretrained-frozen,,other-specify,,audio|vision-video|text,LoRA-family,,policy-gradient,,none-reported,NR,,none,,NR,NR,NR,NR,,False,NR,NR,MELD|IEMOCAP,categorical-emotion-recognition,secondary,core-affective,,unimodal vs multimodal reward ablations,"Uses GRPO for policy optimization on modality selection; coded optimizer as other-specify v1.1 correction: task changed from multimodal-sentiment-analysis to categorical-emotion-recognition. Paper is MERC (emotion recognition in conversation), not sentiment analysis. v1.1 correction: axis_3a recoded from other-specify to policy-gradient; axis_3a uncertainty cleared. axis_1b uncertainty preserved — GRPO-driven modality selection is meta-fusion, not yet addressed by rubric.",axis_1b_primary
zhang2023llamaadapter,zhang2023llamaadapter,coder_A,2026-05-24,unimodal-pretrained-frozen,,linear-mlp-projection,,vision-image|text,zero-init-attention,,AdamW-standard,,none-reported,FP16-mixed,,none,,single-node-multi-GPU-DDP,,8x A100,enterprise,,False,1.2M,NR,COCO|ScienceQA,multimodal-instruction-following,primary,method-source,,,V1 of LLaMA-Adapter,
luo2023lavin,luo2023lavin,coder_A,2026-05-24,unimodal-pretrained-frozen,,gated-mixture,,vision-image|text,adapter-modules,,AdamW-standard,,none-reported,FP16-mixed,,none,,single-node-multi-GPU-DDP,,8x RTX 3090,prosumer,,False,3.8M,NR,ScienceQA,multimodal-instruction-following,primary,method-source,,Dynamic routing ablations,Mixture-of-Modality Adaptation routes features,axis_1b_primary
fang2025mmlora,fang2025mmlora,coder_A,2026-05-24,unimodal-pretrained-frozen,multimodal-pretrained,linear-mlp-projection,query-based,audio|text,LoRA-family,hybrid,AdamW-standard,,none-reported,NR,,MoE-over-PEFT,,single-node-multi-GPU-DDP,,NVIDIA A800 80GB GPUs,enterprise,NR,False,NR,NR,IEMOCAP,categorical-emotion-recognition,primary,core-affective,,w/o memory; MOE-LORA w/o gender,"Top-2 routing of 8 LoRA experts; coded sparsity as none because MoE is applied to PEFT adapters rather than backbone v1.1 correction: axis_4b recoded from none to MoE-over-PEFT. This paper drove the v1.1 addition of the MoE-over-PEFT category (see CHANGELOG); original 'none' coding reflected the rubric gap, not a coding choice.",
qiu2025feddisc,qiu2025feddisc,coder_A,2026-05-24,unimodal-pretrained-frozen,,other-specify,,audio|vision-video|text,full-FT,,NR,,none-reported,NR,,none,,federated,,NR,NR,NR,False,NR,NR,IEMOCAP,categorical-emotion-recognition,secondary,core-affective,,Modality absence ratios,Diffusion-based recovery module coded as other-specify for fusion,axis_1b_primary
zadeh2017tfn,zadeh2017tfn,coder_A,2026-05-24,from-scratch,,tensor-fusion,,audio|vision-video|text,full-FT,,Adam-no-WD,,none-reported,FP32,,none,,NR,,NR,NR,NR,False,NR,NR,CMU-MOSI,multimodal-sentiment-analysis,incidental,core-affective,,,"Foundational TFN paper. Inefficient by design (causes exponential blowup) which motivated the efficiency field. v1.1 correction: axis_3a recoded from other-specify to Adam-no-WD based on paper verification (TFN code release confirms torch.optim.Adam with no weight_decay argument). Note: original other-specify code lacked written rationale; this recoding is based on external paper verification rather than a documented coder note, unlike the federated-optimizer / Adam-no-WD / policy-gradient recodings on other papers.",
zhang2023videollama,zhang2023videollama,coder_A,2026-05-24,unimodal-pretrained-frozen,multimodal-pretrained,query-based,,audio|vision-video|text,prefix-prompt-tuning,,AdamW-standard,,none-reported,NR,,none,,ZeRO-family-NR-stage,,enterprise clusters,enterprise,NR,False,NR,NR,WebVid|CC3M,multimodal-instruction-following,secondary,method-source,,,Q-formers output soft prompts for a frozen LLM.,axis_2_primary
